,level_0,index,Campaign Id,Campaign Name
515,515,22918,107334263351286,CC-0005-0013 US SP AUTO Chicnchill 20221003 TAM 1
522,522,23141,70619809851061,CC-0026-0001 US SP ASIN Chicnchill 20221027 HUY 1
543,543,24415,109552503034585,Extender Auto
546,546,24605,162113471231704,CC-0025-0005 US SP AUTO Chicnchill 20221003 HUY 1
586,586,27931,226303349227167,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 4
594,594,28107,268409882415213,CC-0034-0003 US SP AUTO Chicnchill 20221015 HUY 1
604,604,29456,226688948812019,CC-0013-0003 US SP AUTO Chicnchill 20221003 HUY 1
605,605,29465,193427958788404,CC-0026-0001 US SP ASIN Chicnchill 20221027 HUY 2
610,610,30304,84523136502491,CC-0015-0006 US SP AUTO Chicnchill 20221003 HUY 1
624,624,31191,199223037207812,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 5
625,625,31205,274258094318170,CC-0005-0012 US SP AUTO Chicnchill 20221003 TAM 1
629,629,31454,61792667555496,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 2
631,631,31649,234844237257678,CC-0005-0002 US SP AUTO Chicnchill 20221003 TAM 1
641,641,32364,200087723312536,CC-0005-0011 US SP AUTO Chicnchill 20221003 TAM 1
672,672,35310,93663779116811,CC-0020-0002 US SP AUTO Chicnchill 20220904 TAM 1
673,673,35319,88760515028866,CC-0001-0005 US SP ACST Chicnchill 20220927 TAM 1
679,679,35516,257799216083495,CC-0025-0007 US SP AUTO Chicnchill 20221003 HUY 1
682,682,35591,262701958381810,CC-0034-0002 US SP AUTO Chicnchill 20221015 HUY 1
687,687,36470,33872197720733,CC-0005-0011 US SP AUTO Chicnchill 20221003 TAM 1
691,691,36636,1184569865590,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 4
700,700,37262,61874020754963,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 5
726,726,39796,196882657762997,CC-0034-0001 US SP AUTO Chicnchill 20221015 HUY 1
728,728,40845,108940537068622,CC-0016-0006 US SP AUTO Chicnchill 20221003 HUY 1
734,734,41176,110395739343007,CC-0025-0004 US SP AUTO Chicnchill 20221003 HUY 1
738,738,41359,279928428842252,CC-0005-0010 US SP AUTO Chicnchill 20221003 TAM 1
750,750,42027,134828563212456,CC-0005-0013 US SP AUTO Chicnchill 20221003 TAM 1
756,756,42103,252101577358661,CC-0025-0009 US SP AUTO Chicnchill 20221003 HUY 1
760,760,42429,2202201315262,CC-0005-0005 US SP AUTO Chicnchill 20221003 TAM 1
764,764,42864,120189470146874,CC-0005-0010 US SP AUTO Chicnchill 20221003 TAM 1
784,784,44511,11853799303332,CC-0025-0010 US SP AUTO Chicnchill 20221003 HUY 1
786,786,44581,67294780210140,CC-0025-0013 US SP AUTO Chicnchill 20221003 HUY 1
790,790,44884,271254966449034,CC-0034-0001 US SP AUTO Chicnchill 20221015 HUY 1
797,797,45311,94880108856314,Extender Auto
798,798,45320,198515055958273,CC-0013-0004 US SP AUTO Chicnchill 20221003 HUY 1
809,809,46563,92544705596327,CC-0025-0008 US SP AUTO Chicnchill 20221003 HUY 1
812,812,46607,91317520817234,CC-0005-0014 US SP AUTO Chicnchill 20221003 TAM 1
813,813,46616,141683021236505,CC-0027-0005 US SP ACST Chicnchill 20220927 TAM 1
816,816,46741,7021350086775,CC-0034-0003 US SP AUTO Chicnchill 20221015 HUY 1
820,820,46914,187086617566879,CC-0013-0002 US SP AUTO Chicnchill 20221003 HUY 1
826,826,47412,114050292719596,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 1
829,829,47576,98290341305582,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 6
831,831,47598,29733081737486,CC-0015-0001 US SP AUTO Chicnchill 20221003 HUY 1
835,835,48434,109881767364847,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 2
837,837,48607,184200215144091,CC-0013-0006 US SP AUTO Chicnchill 20221003 HUY 1
847,847,49051,65190550774598,CC-0005-0004 US SP AUTO Chicnchill 20221003 TAM 1
850,850,49116,120515881940525,CC-0005-0006 US SP AUTO Chicnchill 20221003 TAM 1
861,861,49840,161258229590731,CC-0034-0002 US SP AUTO Chicnchill 20221015 HUY 1
863,863,49883,229587378005315,CC-0005-0008 US SP AUTO Chicnchill 20221003 TAM 1
876,876,50423,70116527785233,CC-0005-0001 US SP AUTO Chicnchill 20221003 TAM 1
881,881,50766,118264328996492,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 1
882,882,50780,169940136400255,CC-0005-0003 US SP AUTO Chicnchill 20221003 TAM 1
883,883,50781,15788901056191,CC-0026-0001 US SP ASIN Chicnchill 20221027 HUY 4
890,890,51786,26102066557267,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 3
893,893,51847,172256013824835,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 3
